Category,Address,Municipality,Price,Tenant,Land Use,Land Area,Sub Type,Event Date,Vendor,Vendor Signing Officer,Vendor Address,Purchaser,Purchaser Signing Officer,Purchaser Address,Mortgage Type 1,Primary Lender 1,Secondary Lender 1,Tertiary Lender 1,Interest Rate 1,Principal Amount 1,Calculation Period 1,Payment Frequency 1,Payment Amount 1,Commencement Date 1,Maturity Date 1,Instrument Date 1,See Remarks 1,Mortgage Type 2,Primary Lender 2,Secondary Lender 2,Tertiary Lender 2,Interest Rate 2,Principal Amount 2,Calculation Period 2,Payment Frequency 2,Payment Amount 2,Commencement Date 2,Maturity Date 2,Instrument Date 2,See Remarks 2,Mortgage Type 3,Primary Lender 3,Secondary Lender 3,Tertiary Lender 3,Interest Rate 3,Principal Amount 3,Calculation Period 3,Payment Frequency 3,Payment Amount 3,Commencement Date 3,Maturity Date 3,Instrument Date 3,See Remarks 3,Mortgage Type 4,Primary Lender 4,Secondary Lender 4,Tertiary Lender 4,Interest Rate 4,Principal Amount 4,Calculation Period 4,Payment Frequency 4,Payment Amount 4,Commencement Date 4,Maturity Date 4,Instrument Date 4,See Remarks 4
Office,"2892 South Sheridan Way
2902 South Sheridan Way",Oakville,"$3,235,000 ",Multi Tenant,,,Flex Office,8/1/2019,Caralan Management Limited,"Paul Eisner, President","52 Mellowood Drive, Toronto, Ontario, M2L 2E3",VLRP Inc.  - User,"Viet Ngoc Tran, ASO","3255 Jean Gascon, Saint Laurent, QC, H4R 3B5",Subsequent - Demand Debenture,Bank of Montreal,,,Prime rate plus 1.50%,"$2,426,250.00 ",Monthly,,,,,8/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,3930 Nashua Drive,Mississauga,"$4,700,000 ",Single Tenant,,,Flex Office,8/1/2019,Ledcor Properties Inc.,"William Fox, President", 3930 Nashua Drive    -   1998-02-03,2697330 Ontario Ltd.  - User,"Manjit Singh Bath, ASO","24 New London Court, Brampton, Ontario, L6Y 4E4",Subsequent - Demand Debenture,Bank of Montreal,,,Prime rate plus 5.0%,"$3,055,000.00 ",Monthly,,,,,8/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,302 Bay Street,Old Toronto,"$41,184,000 ",Multi Tenant,,,,8/1/2019,Bank of Montreal,"George Della Rocca and I, Michael Misurka, SVP Corporate Real Estate and Senior Manager",302 Bay Street,Campus Living Centres (Richmond Investment Corp.)  - Private Investor - Canadian,"Ray Stanton, President","5405 Eglinton Ave W Suite 214 Toronto, ON M9C 5K6",VTB,Vendor Financed,,,Bank of Montreal prime rate + 2.0% per annum,"$41,184,000.00 ",,,,,,8/1/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,204 Simcoe Avenue,Georgina,"$3,300,000 ",Multi Tenant,,,Flex Office,8/1/2019,1504980 Ontario Inc.,"Peter Youngren, President", 204 Simcoe Avenue    -   2017-03-08,Sureal Investments Ltd.  - Private Investor - Canadian,"Rebecca Sugarman, ASO","53 1/2 Olive Avenue, Toronto, Ontario, M6G 1V2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,3410 Sheppard Avenue East,Scarborough,"$7,100,000 ",Multi Tenant,,,Medical Office Building,7/31/2019,Sheppard Court Ltd.,"Allan Noik, ASO",3410 Sheppard Avenue East,2703806 Ontario Inc.  - Private Investor - Canadian,"Al Roissl, ASO","5070 Dixie Road Mississauga, ON, L4W 1C9",Subsequent - Demand Debenture,Business Development Bank of Canada,,,10.0% per annum,"$6,900,000.00 ",Monthly,Monthly,,,,7/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,5290 Yonge Street,North York,"$15,500,000 ",Multi Tenant,,,,7/31/2019,Duca Financial Services Credit Union Ltd.,"Doug Conick and Len Dias, ASOs",5290 Yonge Street,DCMS Realty Developments Inc. (DCMS Realty (5290 Yonge) Inc.)  - User,"Domenic Gesualdi, President","2800 14th Avenue, Suite 508, Markham, Ontario, L3R 0E4",Subsequent,Bank of Montreal,,,Bank of Montreal Prime Rate plus 5.0% per annum,"$12,375,000.00 ",Monthly,,,,,7/31/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,8 Sousa Mendes,Old Toronto,"$1,045,000 ",Multi Tenant,,,Flex Office,7/22/2019,N5R.Com Inc.,"Roman Bodnarchuk, President","26 Brule Crescent, Toronto, ontario, M6S 4H9",Loftus Brough Realty Inc.  - User,"James Loftus, President","8 Sousa Mendes Street, Toronto, Ontario, M6P 3Z5",Subsequent - Demand Debenture,Business Development Bank of Canada,,,See Remarks,"$1,045,000.00 ",Monthly,Monthly,,,,7/22/2019,"Above at the rate equal to the floating base rate of Business Development Bank of Canada for commercial and industrial loans denominated in Canadian dollars announced from time to time, plus 10.00% per year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,4117 Lawrence Avenue East,Scarborough,"$2,900,000 ",Multi Tenant,,,Flex Office,7/22/2019,Homes First Society,"Jeremy Roach and Jose Querubin, Chair and Treasurer", 4117 Lawrence Avenue East    -   2018-05-14,City of Toronto  - Government,"John Charles Payne, ASO","Toronto City Hall, 100 Queen Street West, Toronto, Ontario, M5H 2N2, Attention: City Clerk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,320 Matheson Boulevard West,Mississauga,"$17,500,000 ",Single Tenant,,,Flex Office,7/17/2019,Starlight Investments (320 Matheson Ltd.),"Daniel Drimmer, President", 320 Matheson Boulevard West    -   2017-06-29,BVD Petroleum (11349961 Canada Inc.)  - Private Investor - Canadian,"Bikram Dhillon, ASO","130 Delta Park Boulevard, Brampton, Ontario, L6T 5E7",Subsequent,Business Development Bank of Canada,,,See Remarks,"$20,000,000.00 ",Monthly,Monthly,,,,7/17/2019,"Above at the rate equal to the floating base rate of Business Development Bank of Canada for commercial and industrial loans denominated in Canadian dollars announced from time to time, plus 10.00% per year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,2130 King Road,King,"$1,372,800 ",Multi Tenant,,,Flex Office,7/17/2019,2525851 Ontario Limited,"Fatholloh Moazemi Farahani, ASO", 2130 King Road    -   2016-09-06,2697902 Ontario Inc.  - Private Investor - Canadian,"Stephania Karellas, ASO","2130 King Road, King City, Ontario, L7B 1L5",Subsequent - Demand Debenture,Business Development Bank of Canada,,,Business Development Bank of Canada's Base Rate plus 10.0%,"$1,225,000.00 ",Monthly,Monthly,,,,7/17/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,87 Scollard Street,Old Toronto,"$5,900,000 ",Multi Tenant,,,,7/16/2019,Opus Tai Development Group Ltd.,"Joseph Gabriel Lerner, ASO", 87 Scollard Street    -   2011-02-28,KES7 Capital (2700504 Ontario Inc.)  - User,"Mark Christensen, ASO","112 Hazelton Avenue, Toronto, ON, M5R 2E5",Subsequent,The Toronto-Dominion Bank,,,The Toronto-Dominion Bank prime rate + 5.0% per annum,"$4,605,000.00 ",Monthly,Monthly,,,,7/16/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,30 Eglinton Avenue West,Mississauga,"$70,900,000 ",Multi Tenant,,,Flex Office,7/15/2019,KingSett Capital (KS 30 Eglinton Inc.),"Rob Kumer, ASO", 30 Eglinton Avenue West    -   2016-05-18,Crown Realty Partners & Plaza Partners (30 Eglinton Avenue West Limited)  - Private Investor - Canadian,"Emily Hanna, ASO","10 Wanless Avenue, Suite 201, Toronto, Ontario, M4N 1V6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
